scientificName,records,scientificNameID
Osangularia mexicana,210,
Xystodus sageneus,210,
"Eritrichthys leucogrammicus (unverified) [Soviet Fishery Data, 1998]",209,
Thoracosphaera,209,
Conchoecia fowleri,208,
Guinardia striata,208,http://www.marinespecies.org/aphia.php?p=taxdetails&id=149113
"unknown fish [, 1998]",208,
Globobulimina barbata,207,
Turborotalia siakensis,207,
"Rhinolophus hipposideros hipposideros (Bechstein, 1800)",206,
Ehlersia,205,
Neogloboquadrina pachyderma incompta,205,
"sediment [SEF study, 2010]",205,
Amandinea coniops,204,
Globorotalia crassaformis oceanica,204,
Heterohelix rajagopalani,203,
Pisciformes,203,
Benthic foraminifera of total foram fauna,202,
Phylum ctenophora,202,
Unidentified - 8616,202,urn:lsid:marinespecies.org:taxname:
Globigerinatheka senni,200,
Navicula transitans derasa delicatula,200,0
Sphaeroidinella excavata,200,
"Saxicola torquatus rubicola  (Linnaeus, 1766)",199,
"Garrulus glandarius rufitergum E.J.O.Hartert, 1903",198,
Gyroidina acuta,198,
Globigerina praecalida,197,
"Falco tinnunculus tinnunculus Linnaeus, 1758",196,
Gyptis spec,196,
Miliolina,196,
Chaetopterus,195,67096
Myctophid larva,195,http://www.marinespecies.org/aphia.php?p=taxdetails&id=125498
Prionospio multibranchiata,195,
Selenopemphix antarcticum,195,
Medusa sp.,194,
"Nectarinia kilimensis kilimensis  Shelley, 1885",194,
Stenosemella parvicollis,193,
Coccolithophoridae sp.,192,
Micromona sp.,192,
Pontophilus intermedius,192,
Chlamys munda,191,
Impagidinium variaseptum,191,
Limnadopsis birchii,191,
Anthozoa spec,190,
Class maxillopoda,190,
Rhabdochlamydia,190,
Anas_platyrhynchos,189,
Benthos,189,
Calcarius_lapponicus,189,
Calidris_melanotos,189,
Carduelis_flammea,189,
Castor_canadensis,189,
Chen_canagica,189,
Falco_rusticolus,189,
Hystrichokolpoma rigaudiae,189,
Lemmus_trimucronatus,189,
Mergus_serrator,189,
Myodes_rufocanus,189,
Ondatra_zibethicus,189,
Salvelinus_alpinus,189,
Stercorarius_longicaudus,189,
Subbotina pseudobulloides,189,
no individuals seen,189,
"Anguis fragilis Linnaeus, 1758",188,
Ceramium,188,urn:lsid:marinespecies.org:taxname:17891
Echinoderm larvae,188,http://www.marinespecies.org/aphia.php?p=taxdetails&id=1806
Globigerinoides ruber pyramidalis,188,
Radiospermum,188,
Ceramium sp.,187,
Chironomida,187,
Thecosomatida,187,
Zeaglobigerina decoraperta,186,
nanoflagellates - phytoplankton with no taxonomy,186,
ultrananoplankton with no taxonomy,186,
Gibbula,185,
Protodrilus,184,
Thecate pteropods,184,
Autre poisson non identifiÃ© (Osteichthyes ),183,
Dapsilidinium pseudocolligerum,183,
Stylasterina,183,
Chaetoceros denticulatum,182,
Phalacrocorax nivalis,182,http://gni.globalnames.org/?search_term=id:6287496
Coccolithophoridae indeterminata,181,
"Vidua macroura (Pallas, 1764)",181,
Aplidium pellucidum form constellatum,180,
Sphaenopus marsupialis,180,
Synchelidium haplocheles,180,
Unidentified - 9303,180,urn:lsid:marinespecies.org:taxname:
Ichneumonoidea,179,
Lekanesphaera hookeri hookeri,179,
Oithona sp.,179,
Ophiuridea,178,
Praxillella pacifica,178,
Tintinniden remains,178,
"Fringilla coelebs coelebs Linnaeus, 1758",177,
Heart urchin sp1,177,
Hyale nigra,177,
Operculodinium israelianum short,177,
Order%20cyclopoida,177,
Chryseobacterium,176,
"Cinnyris cupreus cupreus  (Shaw, 1811)",176,
Circomphalus casina,176,
"Cyanomitra obscura cephaelis (Bates, 1930)",176,
Globorotalia pachyderma,176,
"Phylloscopus collybita collybita (Vieillot, 1817)",176,
Ruthefordoides mexicanus,176,
Buteogallus aequinoctialis,175,
Conchoecia brachyaskos s,175,
Gyroidinoides nitidula,175,
Nemertinea,175,
Bothinae,174,urn:lsid:itis.gov:itis_tsn:649674
Globoturborotalita rubescens pink,174,
Spiniferites lazus,174,
"Zosterops senegalensis stuhlmanni Reichenow, 1892",174,
Cardinium,173,
Homophyllia vitiensis,173,
Bryozoan 23,172,
Molpadia,172,
Scalindua ssp.,172,
Bryozoan 3,171,
Conchoecia obtusa,171,
Egg mass,169,
"Arvicola terrestris scherman Shaw, 1801",168,
Asteromphalus hookeri,168,http://www.marinespecies.org/aphia.php?p=taxdetails&id=162259
Prorocentrum minutum,168,
"Tatera lobengulae (De Winton, 1898)",168,
Vanellus miles novaehollandiae,168,ITIS:TSN:825177
Danaus plexippus,167,117273
Sessilia,167,
Globoquadrina altispira occlusa,166,
Halophila engelmanni,166,
Penguins,166,
Terebellidae A,166,
Calcarea calcareous,165,
Marphysa bellii totospinata,165,
Themisto sp.,165,http://www.marinespecies.org/aphia.php?p=taxdetails&id=101800
Cystoclonium purpureum cirrhosum,164,
Enneadocysta partridgei,164,
Galathea juv,164,
Stilostomella gracillima,164,
"Turdus viscivorus viscivorus Linnaeus, 1758",164,
communautés microbiennes,164,
Buellia latemarginata,163,
Globigerina woodi woodi,163,
Potamilla occelata,163,
Spongia,163,
Anaerococcus,162,
Chaetomys subspinosus,162,
Globorotalia scitula scitula,162,
Hystrichosphaeropsis obscura,162,
Obelia spec,162,
Phyllodoce,162,
"Praomys tullbergi (Thomas, 1894)",162,
"Procolobus badius (Kerr, 1792)",162,
"Sphoeroides laevigatus (unverified) [Soviet Fishery Data, 1998]",162,
Astronion sp.,161,
Choanoflagellates,161,
Cryptomonads,161,
Globigerina selli,161,
Gymnodinoid sp.,161,
"Luscinia megarhynchos megarhynchos  Brehm, CL, 1831",161,
Ornithoceros cf magnificus,161,
Ornithoceros cf thumii,161,
Ornithoceros sp.,161,
Pleurosigma/Gyrosigma sp,161,
Rhizololenia cf styliformis,161,
Rhizosolenia cf imbricata,161,
Syngnathus pelagicus,161,
Thalassiothrix/Lioloma sp.,161,
cf Alexandrium sp,161,
cf. Trigonium sp.,161,
"Crocidura russula (Hermann, 1780)",160,
Paralabamina hillebrandti,160,
Spiophanes soederstromi,160,
"Pennate diatom [, 2012]",159,
Umbilicosphaera tenuis,159,
Undidentified ciliate,159,
Batiacasphaera micropapillata,158,
Conchoecia edentata s,158,
Impagidinium plicatum,158,
Polynucleobacter,158,
Diploneis didyma,157,
Globigerinoides cyclostomus,156,
Globorotalia triangula,156,
"Sylvia borin borin (Boddaert, 1783)",156,
Triloculina arctica,156,
Apanthuretta magnifica,155,
"Oriolus oriolus (Linnaeus, 1758)",155,
Goniocidaris_parasol,154,
Maldane glabra,154,
"Myoxus glis (Linnaeus, 1766)",154,
Paralichthinae,154,
"Acrocephalus scirpaceus scirpaceus  (Hermann, 1804)",153,
Deuterotrochammina D. grisea,153,
Gyptis,153,
Neanthes limnicola,153,
"Causus rhombeatus (Lichtenstein, 1823)",152,
Tortue Ã  Ã©caille non identifiÃ©e,151,
Turborotalia scitula,151,
"Apogon sp. (unverified) [Soviet Fishery Data, 1998]",150,
Halophila,150,
Invertebrata,150,0
